期數,開獎日期,今彩539中獎號碼,備註
4603,2022/05/13,"[3, 15, 16, 19, 31]",無
4602,2022/05/12,"[3, 9, 22, 33, 37]",無
4601,2022/05/11,"[4, 5, 6, 10, 33]",無
4600,2022/05/10,"[4, 10, 14, 19, 20]",無
4599,2022/05/09,"[11, 12, 15, 21, 38]",無
4598,2022/05/07,"[1, 4, 14, 37, 38]",無
4597,2022/05/06,"[2, 7, 11, 13, 31]",無
4596,2022/05/05,"[9, 18, 29, 31, 33]",無
4595,2022/05/04,"[2, 3, 11, 23, 27]",無
4594,2022/05/03,"[8, 12, 14, 22, 28]",無
4593,2022/05/02,"[3, 9, 10, 12, 34]",無
4592,2022/04/30,"[4, 13, 29, 32, 37]",無
4591,2022/04/29,"[7, 14, 31, 32, 38]",無
4590,2022/04/28,"[10, 14, 16, 24, 36]",無
4589,2022/04/27,"[3, 14, 25, 29, 30]",無
4588,2022/04/26,"[8, 20, 21, 25, 38]",無
4587,2022/04/25,"[2, 7, 9, 19, 21]",無
4586,2022/04/23,"[10, 23, 26, 33, 39]",無
4585,2022/04/22,"[3, 7, 11, 20, 27]",無
4584,2022/04/21,"[1, 5, 15, 19, 36]",無
4583,2022/04/20,"[2, 6, 26, 29, 37]",無
4582,2022/04/19,"[10, 24, 25, 29, 32]",無
4581,2022/04/18,"[11, 18, 20, 35, 38]",無
4580,2022/04/16,"[6, 7, 13, 20, 30]",無
4579,2022/04/15,"[7, 15, 19, 25, 27]",無
4578,2022/04/14,"[11, 13, 17, 18, 29]",無
4577,2022/04/13,"[15, 18, 20, 22, 23]",無
4576,2022/04/12,"[19, 23, 32, 34, 36]",無
4575,2022/04/11,"[9, 20, 29, 36, 39]",無
4574,2022/04/09,"[2, 20, 26, 27, 37]",無
4573,2022/04/08,"[2, 5, 20, 21, 23]",無
4572,2022/04/07,"[3, 7, 25, 36, 37]",無
4571,2022/04/06,"[2, 3, 9, 29, 33]",無
4570,2022/04/05,"[7, 9, 31, 37, 39]",無
4569,2022/04/04,"[4, 17, 29, 32, 37]",無
4568,2022/04/02,"[3, 13, 23, 26, 32]",無
4567,2022/04/01,"[5, 7, 17, 25, 37]",無
4566,2022/03/31,"[5, 8, 12, 17, 19]",無
4565,2022/03/30,"[1, 21, 28, 29, 34]",無
4564,2022/03/29,"[3, 16, 26, 27, 36]",無
4563,2022/03/28,"[6, 17, 21, 25, 29]",無
4562,2022/03/26,"[3, 12, 22, 33, 39]",無
4561,2022/03/25,"[8, 12, 13, 14, 18]",無
4560,2022/03/24,"[1, 12, 13, 19, 31]",無
4559,2022/03/23,"[12, 13, 20, 27, 30]",無
4558,2022/03/22,"[9, 27, 29, 34, 35]",無
4557,2022/03/21,"[3, 6, 7, 21, 24]",無
4556,2022/03/19,"[2, 10, 25, 26, 35]",無
4555,2022/03/18,"[3, 14, 23, 29, 30]",無
4554,2022/03/17,"[18, 19, 26, 34, 37]",無
4553,2022/03/16,"[10, 18, 19, 33, 35]",無
4552,2022/03/15,"[2, 4, 7, 30, 38]",無
4551,2022/03/14,"[10, 16, 17, 19, 23]",無
4550,2022/03/12,"[7, 10, 14, 17, 20]",無
4549,2022/03/11,"[4, 6, 11, 20, 29]",無
4548,2022/03/10,"[12, 14, 19, 33, 34]",無
4547,2022/03/09,"[1, 5, 21, 24, 28]",無
4546,2022/03/08,"[9, 10, 11, 25, 35]",無
4545,2022/03/07,"[10, 11, 24, 32, 38]",無
4544,2022/03/05,"[10, 12, 18, 30, 34]",無
4543,2022/03/04,"[3, 13, 14, 16, 26]",無
4542,2022/03/03,"[5, 11, 16, 24, 27]",無
4541,2022/03/02,"[6, 15, 16, 21, 23]",無
4540,2022/03/01,"[10, 15, 17, 28, 32]",無
4539,2022/02/28,"[7, 17, 18, 34, 37]",無
4538,2022/02/26,"[13, 17, 24, 34, 35]",無
4537,2022/02/25,"[5, 17, 22, 35, 39]",無
4536,2022/02/24,"[10, 11, 28, 30, 33]",無
4535,2022/02/23,"[2, 11, 16, 28, 38]",無
4534,2022/02/22,"[8, 13, 23, 25, 37]",無
4533,2022/02/21,"[1, 6, 15, 22, 36]",無
4532,2022/02/19,"[23, 27, 31, 34, 35]",無
4531,2022/02/18,"[3, 8, 15, 17, 26]",無
4530,2022/02/17,"[4, 7, 15, 32, 37]",無
4529,2022/02/16,"[5, 16, 22, 23, 30]",無
4528,2022/02/15,"[5, 9, 15, 29, 33]",無
4527,2022/02/14,"[9, 14, 21, 28, 34]",無
4526,2022/02/12,"[4, 7, 11, 21, 22]",無
4525,2022/02/11,"[14, 29, 35, 38, 39]",無
4524,2022/02/10,"[12, 14, 35, 37, 38]",無
4523,2022/02/09,"[2, 11, 17, 18, 38]",無
4522,2022/02/08,"[8, 11, 19, 23, 34]",無
4521,2022/02/07,"[10, 20, 31, 34, 38]",無
4520,2022/02/05,"[1, 2, 12, 19, 34]",無
4519,2022/02/04,"[6, 15, 19, 23, 39]",無
4518,2022/02/03,"[9, 12, 25, 35, 39]",無
4517,2022/02/02,"[14, 15, 19, 22, 25]",無
4516,2022/02/01,"[17, 20, 22, 38, 39]",無
4515,2022/01/31,"[5, 16, 17, 33, 38]",無
4514,2022/01/29,"[8, 12, 18, 23, 38]",無
4513,2022/01/28,"[1, 16, 20, 30, 31]",無
4512,2022/01/27,"[3, 9, 24, 34, 35]",無
4511,2022/01/26,"[12, 22, 29, 30, 36]",無
4510,2022/01/25,"[8, 19, 20, 24, 37]",無
4509,2022/01/24,"[5, 11, 24, 30, 38]",無
4508,2022/01/22,"[6, 27, 29, 32, 38]",無
4507,2022/01/21,"[13, 17, 18, 35, 39]",無
4506,2022/01/20,"[3, 31, 33, 35, 38]",無
4505,2022/01/19,"[9, 15, 17, 26, 38]",無
4504,2022/01/18,"[1, 16, 19, 26, 38]",無
4503,2022/01/17,"[1, 22, 24, 33, 36]",無
4502,2022/01/15,"[14, 21, 27, 32, 33]",無
4501,2022/01/14,"[4, 6, 8, 9, 17]",無
4500,2022/01/13,"[1, 5, 26, 28, 39]",無
4499,2022/01/12,"[3, 7, 13, 16, 28]",無
4498,2022/01/11,"[2, 11, 17, 20, 36]",無
4497,2022/01/10,"[3, 9, 10, 14, 37]",無
4496,2022/01/08,"[2, 4, 18, 30, 39]",無
4495,2022/01/07,"[12, 13, 25, 26, 39]",無
4494,2022/01/06,"[1, 16, 22, 35, 39]",無
4493,2022/01/05,"[6, 15, 18, 27, 38]",無
4492,2022/01/04,"[2, 5, 11, 27, 30]",無
4491,2022/01/03,"[3, 7, 9, 36, 38]",無
4490,2022/01/01,"[4, 6, 7, 23, 36]",無
4489,2021/12/31,"[5, 11, 17, 27, 39]",無
4488,2021/12/30,"[8, 10, 18, 20, 27]",無
4487,2021/12/29,"[2, 3, 18, 23, 30]",無
4486,2021/12/28,"[14, 23, 34, 35, 36]",無
4485,2021/12/27,"[4, 7, 10, 13, 31]",無
4484,2021/12/25,"[7, 10, 20, 31, 37]",無
4483,2021/12/24,"[8, 15, 19, 29, 39]",無
4482,2021/12/23,"[6, 7, 16, 18, 25]",無
4481,2021/12/22,"[3, 5, 13, 16, 29]",無
4480,2021/12/21,"[21, 23, 32, 34, 38]",無
4479,2021/12/20,"[5, 9, 18, 28, 33]",無
4478,2021/12/18,"[14, 15, 21, 26, 33]",無
4477,2021/12/17,"[12, 18, 23, 25, 36]",無
4476,2021/12/16,"[4, 13, 20, 28, 35]",無
4475,2021/12/15,"[1, 6, 10, 19, 25]",無
4474,2021/12/14,"[11, 13, 33, 34, 35]",無
4473,2021/12/13,"[3, 19, 34, 35, 36]",無
4472,2021/12/11,"[3, 13, 16, 31, 33]",無
4471,2021/12/10,"[3, 5, 21, 27, 30]",無
4470,2021/12/09,"[8, 10, 11, 18, 28]",無
4469,2021/12/08,"[9, 13, 25, 28, 29]",無
4468,2021/12/07,"[5, 9, 23, 30, 38]",無
4467,2021/12/06,"[15, 16, 21, 27, 29]",無
4466,2021/12/04,"[13, 14, 32, 34, 36]",無
4465,2021/12/03,"[2, 15, 24, 26, 31]",無
4464,2021/12/02,"[2, 17, 20, 23, 39]",無
4463,2021/12/01,"[1, 7, 17, 29, 36]",無
4462,2021/11/30,"[1, 5, 6, 7, 24]",無
4461,2021/11/29,"[3, 5, 7, 15, 17]",無
4460,2021/11/27,"[14, 15, 16, 25, 28]",無
4459,2021/11/26,"[8, 19, 20, 24, 34]",無
4458,2021/11/25,"[10, 14, 16, 20, 24]",無
4457,2021/11/24,"[4, 10, 17, 24, 26]",無
4456,2021/11/23,"[23, 27, 28, 35, 36]",無
4455,2021/11/22,"[3, 5, 19, 20, 30]",無
4454,2021/11/20,"[8, 11, 23, 32, 36]",無
4453,2021/11/19,"[21, 24, 25, 26, 36]",無
4452,2021/11/18,"[3, 15, 22, 32, 38]",無
4451,2021/11/17,"[4, 12, 17, 22, 24]",無
4450,2021/11/16,"[1, 4, 7, 20, 32]",無
4449,2021/11/15,"[2, 20, 25, 32, 35]",無
4448,2021/11/13,"[1, 2, 8, 26, 37]",無
4447,2021/11/12,"[2, 19, 25, 32, 34]",無
4446,2021/11/11,"[13, 15, 17, 18, 35]",無
4445,2021/11/10,"[5, 9, 17, 24, 26]",無
4444,2021/11/09,"[13, 23, 25, 27, 34]",無
4443,2021/11/08,"[6, 13, 15, 18, 26]",無
4442,2021/11/06,"[2, 13, 24, 25, 32]",無
4441,2021/11/05,"[9, 11, 14, 28, 30]",無
4440,2021/11/04,"[5, 15, 21, 32, 34]",無
4439,2021/11/03,"[1, 12, 21, 25, 32]",無
4438,2021/11/02,"[2, 19, 22, 35, 38]",無
4437,2021/11/01,"[7, 12, 18, 25, 33]",無
4436,2021/10/30,"[17, 26, 27, 33, 34]",無
4435,2021/10/29,"[3, 9, 21, 33, 35]",無
4434,2021/10/28,"[14, 18, 20, 23, 39]",無
4433,2021/10/27,"[13, 20, 23, 30, 33]",無
4432,2021/10/26,"[6, 10, 32, 34, 39]",無
4431,2021/10/25,"[2, 14, 27, 31, 36]",無
4430,2021/10/23,"[4, 13, 22, 24, 34]",無
4429,2021/10/22,"[6, 21, 25, 29, 36]",無
4428,2021/10/21,"[1, 4, 11, 34, 36]",無
4427,2021/10/20,"[11, 21, 24, 31, 32]",無
4426,2021/10/19,"[10, 11, 20, 22, 34]",無
4425,2021/10/18,"[2, 8, 9, 18, 28]",無
4424,2021/10/16,"[11, 12, 25, 28, 30]",無
4423,2021/10/15,"[1, 29, 35, 38, 39]",無
4422,2021/10/14,"[4, 5, 11, 16, 33]",無
4421,2021/10/13,"[1, 5, 11, 17, 31]",無
4420,2021/10/12,"[2, 16, 22, 24, 29]",無
4419,2021/10/11,"[6, 18, 24, 26, 30]",無
4418,2021/10/09,"[6, 13, 20, 30, 36]",無
4417,2021/10/08,"[21, 23, 27, 36, 37]",無
4416,2021/10/07,"[15, 16, 26, 28, 38]",無
4415,2021/10/06,"[4, 8, 13, 18, 22]",無
4414,2021/10/05,"[5, 24, 25, 30, 39]",無
4413,2021/10/04,"[22, 26, 30, 31, 37]",無
4412,2021/10/02,"[9, 15, 19, 20, 25]",無
4411,2021/10/01,"[1, 10, 19, 28, 37]",無
4410,2021/09/30,"[6, 7, 19, 23, 35]",無
4409,2021/09/29,"[2, 3, 11, 19, 38]",無
4408,2021/09/28,"[3, 9, 28, 32, 35]",無
4407,2021/09/27,"[1, 14, 28, 29, 30]",無
4406,2021/09/25,"[4, 15, 16, 23, 30]",無
4405,2021/09/24,"[2, 3, 30, 33, 34]",無
4404,2021/09/23,"[5, 12, 22, 32, 36]",無
4403,2021/09/22,"[15, 18, 19, 20, 35]",無
4402,2021/09/21,"[10, 18, 29, 31, 34]",無
4401,2021/09/20,"[10, 11, 31, 35, 39]",無
4400,2021/09/18,"[1, 5, 12, 22, 34]",無
4399,2021/09/17,"[1, 17, 23, 30, 34]",無
4398,2021/09/16,"[7, 12, 16, 19, 33]",無
4397,2021/09/15,"[1, 3, 6, 19, 32]",無
4396,2021/09/14,"[2, 6, 17, 19, 38]",無
4395,2021/09/13,"[3, 6, 9, 32, 39]",無
4394,2021/09/11,"[4, 6, 12, 14, 25]",無
4393,2021/09/10,"[3, 8, 17, 25, 39]",無
4392,2021/09/09,"[4, 12, 20, 23, 27]",無
4391,2021/09/08,"[4, 7, 12, 28, 37]",無
4390,2021/09/07,"[1, 7, 15, 17, 38]",無
4389,2021/09/06,"[4, 9, 22, 26, 39]",無
4388,2021/09/04,"[8, 15, 27, 33, 35]",無
4387,2021/09/03,"[2, 8, 28, 37, 38]",無
4386,2021/09/02,"[4, 20, 27, 29, 35]",無
4385,2021/09/01,"[7, 12, 18, 19, 39]",無
4384,2021/08/31,"[4, 15, 28, 29, 35]",無
4383,2021/08/30,"[2, 14, 24, 36, 39]",無
4382,2021/08/28,"[2, 5, 12, 32, 37]",無
4381,2021/08/27,"[3, 18, 23, 32, 33]",無
4380,2021/08/26,"[3, 11, 32, 36, 39]",無
4379,2021/08/25,"[14, 15, 26, 31, 34]",無
4378,2021/08/24,"[8, 17, 20, 24, 27]",無
4377,2021/08/23,"[6, 11, 24, 29, 37]",無
4376,2021/08/21,"[18, 24, 29, 31, 33]",無
4375,2021/08/20,"[1, 5, 10, 31, 38]",無
4374,2021/08/19,"[8, 12, 19, 26, 38]",無
4373,2021/08/18,"[10, 11, 15, 16, 36]",無
4372,2021/08/17,"[3, 17, 19, 35, 37]",無
4371,2021/08/16,"[7, 10, 16, 24, 34]",無
4370,2021/08/14,"[3, 8, 18, 30, 37]",無
4369,2021/08/13,"[5, 25, 27, 35, 37]",無
4368,2021/08/12,"[1, 3, 7, 19, 30]",無
4367,2021/08/11,"[17, 20, 28, 30, 38]",無
4366,2021/08/10,"[8, 22, 23, 29, 31]",無
4365,2021/08/09,"[9, 12, 18, 22, 38]",無
4364,2021/08/07,"[2, 4, 8, 11, 22]",無
4363,2021/08/06,"[4, 7, 11, 18, 19]",無
4362,2021/08/05,"[4, 6, 25, 27, 29]",無
4361,2021/08/04,"[10, 20, 32, 34, 39]",無
4360,2021/08/03,"[5, 9, 24, 25, 36]",無
4359,2021/08/02,"[4, 24, 25, 28, 33]",無
4358,2021/07/31,"[4, 5, 17, 33, 35]",無
4357,2021/07/30,"[6, 9, 17, 27, 30]",無
4356,2021/07/29,"[13, 20, 21, 23, 25]",無
4355,2021/07/28,"[6, 12, 17, 18, 24]",無
4354,2021/07/27,"[3, 5, 27, 30, 35]",無
4353,2021/07/26,"[1, 5, 8, 16, 38]",無
4352,2021/07/24,"[1, 8, 12, 17, 31]",無
4351,2021/07/23,"[10, 17, 18, 20, 28]",無
4350,2021/07/22,"[1, 9, 16, 32, 38]",無
4349,2021/07/21,"[9, 16, 24, 32, 38]",無
4348,2021/07/20,"[9, 14, 22, 36, 38]",無
4347,2021/07/19,"[6, 7, 8, 9, 30]",無
4346,2021/07/17,"[2, 16, 21, 31, 37]",無
4345,2021/07/16,"[2, 7, 17, 18, 26]",無
4344,2021/07/15,"[7, 15, 23, 25, 31]",無
4343,2021/07/14,"[1, 12, 14, 18, 26]",無
4342,2021/07/13,"[10, 15, 18, 24, 25]",無
4341,2021/07/12,"[4, 7, 17, 29, 37]",無
4340,2021/07/10,"[9, 26, 28, 35, 38]",無
4339,2021/07/09,"[12, 13, 15, 30, 37]",無
4338,2021/07/08,"[22, 23, 27, 35, 37]",無
4337,2021/07/07,"[1, 11, 17, 25, 29]",無
4336,2021/07/06,"[10, 11, 19, 21, 39]",無
4335,2021/07/05,"[1, 20, 24, 32, 35]",無
4334,2021/07/03,"[8, 20, 23, 27, 29]",無
4333,2021/07/02,"[2, 5, 7, 26, 32]",無
4332,2021/07/01,"[19, 20, 28, 31, 38]",無
4331,2021/06/30,"[4, 6, 26, 28, 39]",無
4330,2021/06/29,"[6, 9, 15, 17, 24]",無
4329,2021/06/28,"[6, 17, 29, 33, 39]",無
4328,2021/06/26,"[17, 26, 31, 32, 35]",無
4327,2021/06/25,"[4, 12, 17, 20, 23]",無
4326,2021/06/24,"[5, 29, 31, 35, 36]",無
4325,2021/06/23,"[6, 12, 14, 28, 35]",無
4324,2021/06/22,"[3, 11, 31, 32, 39]",無
4323,2021/06/21,"[4, 10, 12, 36, 37]",無
4322,2021/06/19,"[1, 12, 33, 36, 39]",無
4321,2021/06/18,"[11, 13, 20, 29, 33]",無
4320,2021/06/17,"[8, 28, 31, 36, 39]",無
4319,2021/06/16,"[7, 17, 18, 21, 27]",無
4318,2021/06/15,"[14, 17, 27, 32, 36]",無
4317,2021/06/14,"[17, 25, 27, 33, 35]",無
4316,2021/06/12,"[3, 4, 13, 17, 25]",無
4315,2021/06/11,"[3, 18, 22, 27, 33]",無
4314,2021/06/10,"[1, 13, 14, 22, 33]",無
4313,2021/06/09,"[3, 5, 7, 11, 16]",無
4312,2021/06/08,"[3, 8, 19, 22, 38]",無
4311,2021/06/07,"[6, 12, 15, 20, 39]",無
4310,2021/06/05,"[1, 3, 10, 17, 24]",無
4309,2021/06/04,"[6, 12, 13, 15, 39]",無
4308,2021/06/03,"[1, 11, 14, 29, 36]",無
4307,2021/06/02,"[4, 19, 29, 33, 37]",無
4306,2021/06/01,"[4, 6, 30, 32, 35]",無
4305,2021/05/31,"[18, 23, 31, 32, 35]",無
4304,2021/05/29,"[1, 11, 19, 27, 38]",無
4303,2021/05/28,"[23, 24, 32, 35, 38]",無
4302,2021/05/27,"[21, 24, 26, 29, 32]",無
4301,2021/05/26,"[6, 7, 30, 32, 36]",無
4300,2021/05/25,"[3, 14, 25, 33, 37]",無
4299,2021/05/24,"[12, 14, 23, 24, 36]",無
4298,2021/05/22,"[6, 14, 22, 23, 31]",無
4297,2021/05/21,"[4, 9, 33, 34, 38]",無
4296,2021/05/20,"[13, 30, 31, 35, 37]",無
4295,2021/05/19,"[5, 8, 17, 27, 36]",無
4294,2021/05/18,"[9, 12, 18, 27, 37]",無
4293,2021/05/17,"[3, 15, 27, 33, 36]",無
4292,2021/05/15,"[2, 7, 28, 31, 39]",無
4291,2021/05/14,"[10, 28, 29, 31, 36]",無
4290,2021/05/13,"[13, 16, 17, 25, 37]",無
4289,2021/05/12,"[8, 14, 17, 21, 30]",無
4288,2021/05/11,"[11, 15, 17, 31, 36]",無
4287,2021/05/10,"[14, 15, 17, 28, 37]",無
4286,2021/05/08,"[19, 23, 26, 31, 34]",無
4285,2021/05/07,"[6, 7, 8, 17, 33]",無
4284,2021/05/06,"[3, 7, 13, 21, 22]",無
4283,2021/05/05,"[8, 19, 27, 29, 39]",無
4282,2021/05/04,"[20, 21, 23, 36, 39]",無
4281,2021/05/03,"[4, 13, 15, 29, 32]",無
4280,2021/05/01,"[12, 13, 19, 20, 31]",無
4279,2021/04/30,"[7, 17, 21, 32, 35]",無
4278,2021/04/29,"[8, 10, 23, 32, 35]",無
4277,2021/04/28,"[7, 12, 16, 22, 23]",無
4276,2021/04/27,"[12, 22, 24, 31, 35]",無
4275,2021/04/26,"[1, 5, 16, 17, 21]",無
4274,2021/04/24,"[5, 6, 10, 11, 13]",無
4273,2021/04/23,"[2, 8, 16, 22, 28]",無
4272,2021/04/22,"[5, 7, 8, 25, 26]",無
4271,2021/04/21,"[4, 19, 29, 37, 39]",無
4270,2021/04/20,"[16, 20, 23, 24, 35]",無
4269,2021/04/19,"[1, 4, 9, 29, 39]",無
4268,2021/04/17,"[7, 8, 23, 25, 31]",無
4267,2021/04/16,"[2, 7, 21, 22, 28]",無
4266,2021/04/15,"[6, 7, 17, 25, 37]",無
4265,2021/04/14,"[3, 8, 12, 20, 33]",無
4264,2021/04/13,"[6, 11, 13, 22, 23]",無
4263,2021/04/12,"[17, 22, 34, 37, 39]",無
4262,2021/04/10,"[2, 4, 18, 20, 34]",無
4261,2021/04/09,"[6, 16, 20, 25, 34]",無
4260,2021/04/08,"[2, 7, 9, 29, 35]",無
4259,2021/04/07,"[1, 10, 24, 35, 38]",無
4258,2021/04/06,"[10, 12, 17, 29, 35]",無
4257,2021/04/05,"[1, 17, 25, 36, 38]",無
4256,2021/04/03,"[6, 8, 12, 23, 25]",無
4255,2021/04/02,"[24, 28, 31, 33, 36]",無
4254,2021/04/01,"[2, 9, 20, 25, 35]",無
4253,2021/03/31,"[10, 12, 23, 34, 38]",無
4252,2021/03/30,"[10, 14, 15, 36, 38]",無
4251,2021/03/29,"[10, 12, 15, 32, 35]",無
4250,2021/03/27,"[1, 5, 10, 30, 31]",無
4249,2021/03/26,"[7, 9, 11, 22, 32]",無
4248,2021/03/25,"[8, 12, 22, 33, 35]",無
4247,2021/03/24,"[3, 8, 13, 23, 26]",無
4246,2021/03/23,"[10, 14, 19, 20, 35]",無
4245,2021/03/22,"[1, 11, 17, 29, 34]",無
4244,2021/03/20,"[11, 18, 22, 28, 35]",無
4243,2021/03/19,"[4, 10, 17, 27, 36]",無
4242,2021/03/18,"[11, 21, 30, 32, 38]",無
4241,2021/03/17,"[1, 7, 10, 23, 29]",無
4240,2021/03/16,"[3, 8, 14, 18, 32]",無
4239,2021/03/15,"[7, 11, 13, 25, 39]",無
4238,2021/03/13,"[21, 31, 32, 35, 36]",無
4237,2021/03/12,"[7, 25, 33, 35, 37]",無
4236,2021/03/11,"[4, 9, 13, 27, 28]",無
4235,2021/03/10,"[1, 5, 19, 22, 26]",無
4234,2021/03/09,"[1, 4, 11, 23, 32]",無
4233,2021/03/08,"[13, 17, 18, 24, 28]",無
4232,2021/03/06,"[5, 10, 11, 12, 26]",無
4231,2021/03/05,"[4, 6, 31, 36, 37]",無
4230,2021/03/04,"[7, 10, 16, 19, 24]",無
4229,2021/03/03,"[5, 10, 15, 16, 21]",無
4228,2021/03/02,"[5, 10, 23, 25, 39]",無
4227,2021/03/01,"[13, 32, 34, 36, 38]",無
4226,2021/02/27,"[21, 25, 27, 32, 39]",無
4225,2021/02/26,"[1, 8, 9, 18, 27]",無
4224,2021/02/25,"[9, 10, 14, 22, 38]",無
4223,2021/02/24,"[6, 14, 19, 24, 37]",無
4222,2021/02/23,"[1, 7, 26, 29, 34]",無
4221,2021/02/22,"[4, 16, 21, 32, 33]",無
4220,2021/02/20,"[5, 8, 10, 23, 30]",無
4219,2021/02/19,"[9, 19, 35, 37, 38]",無
4218,2021/02/18,"[1, 14, 19, 27, 28]",無
4217,2021/02/17,"[1, 17, 20, 27, 30]",無
4216,2021/02/16,"[10, 19, 22, 24, 26]",無
4215,2021/02/15,"[6, 7, 19, 20, 26]",無
4214,2021/02/13,"[5, 18, 21, 22, 27]",無
4213,2021/02/12,"[3, 13, 20, 27, 28]",無
4212,2021/02/11,"[1, 8, 9, 17, 22]",無
4211,2021/02/10,"[16, 18, 23, 32, 38]",無
4210,2021/02/09,"[3, 12, 14, 18, 34]",無
4209,2021/02/08,"[1, 2, 20, 23, 26]",無
4208,2021/02/06,"[3, 7, 14, 20, 34]",無
4207,2021/02/05,"[20, 23, 26, 27, 38]",無
4206,2021/02/04,"[1, 5, 12, 15, 26]",無
4205,2021/02/03,"[1, 5, 12, 18, 30]",無
4204,2021/02/02,"[4, 24, 25, 34, 37]",無
4203,2021/02/01,"[6, 12, 17, 28, 36]",無
4202,2021/01/30,"[5, 13, 23, 26, 27]",無
4201,2021/01/29,"[16, 20, 21, 22, 26]",無
4200,2021/01/28,"[14, 16, 20, 30, 37]",無
4199,2021/01/27,"[1, 2, 17, 18, 35]",無
4198,2021/01/26,"[12, 20, 23, 31, 37]",無
4197,2021/01/25,"[13, 16, 23, 37, 39]",無
4196,2021/01/23,"[23, 26, 34, 35, 36]",無
